PackName,Department,Floor
Chest Spreader (S/M/L),CARDIAC,3rd Floor
Chest Spreader 'C' Shape,CARDIAC,3rd Floor
Clip Applicator (Blue, Yellow, Red, White),CARDIAC,3rd Floor
Bulldog Holding Forcep,CARDIAC,3rd Floor
CV Needle Holder,CARDIAC,3rd Floor
Heggars Dialator (1x7),CARDIAC,3rd Floor
Malleable,CARDIAC,3rd Floor
Tube Holder,CARDIAC,3rd Floor
Scissor Tenatomy / Metz,CARDIAC,3rd Floor
Valve Suture Organizer,CARDIAC,3rd Floor
Flask,CARDIAC,3rd Floor
Dr. Lad Personal Forcep,CARDIAC,3rd Floor
Dr. Lad Personal Pacing Cable,CARDIAC,3rd Floor
Dr. Mohanty Personal Inst (1x4),CARDIAC,3rd Floor
Dr. Kapadia Clamp,CARDIAC,3rd Floor
Snugger Stillet,CARDIAC,3rd Floor
Stryker battery,CARDIAC,3rd Floor
Crepe Bandages (4"/6"),CARDIAC,3rd Floor
Tumor Holding Forcep,NEURO,3rd Floor
Disc Forcep,NEURO,3rd Floor
Pitutary Disc Forcep,NEURO,3rd Floor
Ring Curette,NEURO,3rd Floor
Suction Tip,NEURO,3rd Floor
Skin Stapler,NEURO,3rd Floor
Ranney Clips,NEURO,3rd Floor
Tunnler,NEURO,3rd Floor
Light Handle,NEURO,3rd Floor
Light Source,NEURO,3rd Floor
Neuro Bipolar,NEURO,3rd Floor
Dissector (Orange),NEURO,3rd Floor
IAR 1Ltr, 1/2 Ltr,NEURO,3rd Floor
Clip Applicator( Blue Tag),NEURO,3rd Floor
Telescope,NEURO,3rd Floor
Shaver Cable,ARTHOSCOPY DEPT,3rd Floor
Shaver Blade / Burr,ARTHOSCOPY DEPT,3rd Floor
First Pass Mini,ARTHOSCOPY DEPT,3rd Floor
Suture Passer,ARTHOSCOPY DEPT,3rd Floor
Arthrex Telescope (30', 4mm),ARTHOSCOPY DEPT,3rd Floor
S & N Telescope - Dr. Gajjar,ARTHOSCOPY DEPT,3rd Floor
S&N Telescope - Dr. Pardiawala,ARTHOSCOPY DEPT,3rd Floor
Arthrex Trocar Cannula (1x2),ARTHOSCOPY DEPT,3rd Floor
Light Source,ARTHOSCOPY DEPT,3rd Floor
Greyfone Instruments,ARTHOSCOPY DEPT,3rd Floor
Expressive Saw,ARTHOSCOPY DEPT,3rd Floor
Expressive Needle,ARTHOSCOPY DEPT,3rd Floor
Screw Driver Helix PR,ARTHOSCOPY DEPT,3rd Floor
Disposable Trocar Cannula (Grey),ARTHOSCOPY DEPT,3rd Floor
Disposable Trocar Cannula (Yellow),ARTHOSCOPY DEPT,3rd Floor
Disposable Trocar Cannula (Orange),ARTHOSCOPY DEPT,3rd Floor
Bone Awl,ARTHOSCOPY DEPT,3rd Floor
Knot Pusher,ARTHOSCOPY DEPT,3rd Floor
Thread,ARTHOSCOPY DEPT,3rd Floor
Trimano inst.,ARTHOSCOPY DEPT,3rd Floor
Suturer Fix Instrument (Orange),ARTHOSCOPY DEPT,3rd Floor
Arthrex Passport,ARTHOSCOPY DEPT,3rd Floor
Q. Fix inst.(Orange),ARTHOSCOPY DEPT,3rd Floor
Q. Fix inst. (Red),ARTHOSCOPY DEPT,3rd Floor
Q. Fix inst.(Grey),ARTHOSCOPY DEPT,3rd Floor
Q. Fix inst.(Black),ARTHOSCOPY DEPT,3rd Floor
Soft Roll (416"),ORTHO DEPT,3rd Floor
Crape Bandage (4"/6"),ORTHO DEPT,3rd Floor
Black Battery Protector,ORTHO DEPT,3rd Floor
White Battery Protector,ORTHO DEPT,3rd Floor
Flexible Osteotome,ORTHO DEPT,3rd Floor
