SetName,Department,Floor
Dr. Lad’s Personal Instrument Set,CARDIAC,3rd Floor
Cardiac Thoracotomy Set,CARDIAC,3rd Floor
Castaneda Vascular Set,CARDIAC,3rd Floor
Coronary Set,CARDIAC,3rd Floor
Coronary Instrument Set (Geister) – Adult Cardiac,CARDIAC,3rd Floor
Coronary Instrument Set (Geister) – Titanium,CARDIAC,3rd Floor
Endarterectomy Instrument Set,CARDIAC,3rd Floor
Manman Redo Saw Set,CARDIAC,3rd Floor
Manman Saw for Adult cardiac,CARDIAC,3rd Floor
Micro Instrument Set (JK Medical),CARDIAC,3rd Floor
Open Heart General Set,CARDIAC,3rd Floor
Redo Set,CARDIAC,3rd Floor
Retractor Rule Track,CARDIAC,3rd Floor
Scanlan Coronary Instrument Set for Adult Cardiac,CARDIAC,3rd Floor
Stryker Sternum Cutter with Guard,CARDIAC,3rd Floor
Valve Set,CARDIAC,3rd Floor
Vascular Set,CARDIAC,3rd Floor
Dr. Suresh Rao’s Personal Instrument / Coronary Set,PAEDIATRIC CARDIAC,3rd Floor
Dr. Mohanty Personal Instrument Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Cardiac ECMO Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Cardiac Set  Extras,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Cardiac Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Hegar’s Dilator Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Micro Instrument Set – Extras,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Micro Instrument Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Open Heart Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Re-Exploration Set,PAEDIATRIC CARDIAC,3rd Floor
Paediatric Valve Instrument Set,PAEDIATRIC CARDIAC,3rd Floor
Scanlan Neonatal Clamp Set – Titanium,PAEDIATRIC CARDIAC,3rd Floor
Scanlan Paediatric Clip Applying & Forceps Set,PAEDIATRIC CARDIAC,3rd Floor
ACL Block,ARTHROSCOPY,3rd Floor
ACL Set – New,ARTHROSCOPY,3rd Floor
ACL + PCL Set,ARTHROSCOPY,3rd Floor
Arthrex Knot Pusher & Suture Cutter Set (Curved / Straight),ARTHROSCOPY,3rd Floor
Acufex Director Elite ACL Drill Guide System,ARTHROSCOPY,3rd Floor
Acufex Director Set for Anatomic ACL Reconstruction,ARTHROSCOPY,3rd Floor
Arthrex Graft Sizing Set,ARTHROSCOPY,3rd Floor
Acufex Meniscal Stitcher Set,ARTHROSCOPY,3rd Floor
Basic Instrument Set for Arthroscopy – New,ARTHROSCOPY,3rd Floor
Basic Instrument Set for Arthroscopy (Karl Storz),ARTHROSCOPY,3rd Floor
Basic Instrument Set For Arthroscopy (Smith & Nephew),ARTHROSCOPY,3rd Floor
Cartilage Set For Dr. Pardiwala,ARTHROSCOPY,3rd Floor
Cannulated Drill bit set for Arthroscopy,ARTHROSCOPY,3rd Floor
Clancy Flexible Drill Guide Set,ARTHROSCOPY,3rd Floor
COMPACTION PLIERS SET,ARTHROSCOPY,3rd Floor
Ortho Micro Drill System,ARTHROSCOPY,3rd Floor
K/S Hip Arthroscopy Set,ARTHROSCOPY,3rd Floor
Knee Arthroscopy Set,ARTHROSCOPY,3rd Floor
General Inst. Set For ACL Case,ARTHROSCOPY,3rd Floor
Linvatek Shoulder Arthroscopy Set,ARTHROSCOPY,3rd Floor
Linvatec Spectrum Handle ll & Suture Hook Set,ARTHROSCOPY,3rd Floor
Mitek Knot Pusher & Cutter Set,ARTHROSCOPY,3rd Floor
Meniscus Repair Set,ARTHROSCOPY,3rd Floor
Mitek Arthroscopy Shoulder Set,ARTHROSCOPY,3rd Floor
Mitek Arthroscopy Small Joint Set,ARTHROSCOPY,3rd Floor
Remb Electric Saggital Saw System,ARTHROSCOPY,3rd Floor
Shoulder Arthroplasty Retractor Set,ARTHROSCOPY,3rd Floor
Shoulder Arthroscopy Set (OLD / NEW),ARTHROSCOPY,3rd Floor
Trufit Set,ARTHROSCOPY,3rd Floor
Anterior Cervical / Lumbar Laminectomy Set,NEURO,3rd Floor
Bayonnet Forceps & Suction Cannula Set,NEURO,3rd Floor
Burr Hole Set,NEURO,3rd Floor
V.P.Shunt Set,NEURO,3rd Floor
Cloward Retractor Set,NEURO,3rd Floor
Cusa 36khz integra,NEURO,3rd Floor
Debakey Forcep Sets (Neuro),NEURO,3rd Floor
Disc Forcep Set Neuro (Aesculap / Gesco),NEURO,3rd Floor
DEMO TUMOR HOLDING FORCEPS SET (Jayesh Surgical)(Aesculap),NEURO,3rd Floor
Extra Inst. Set For Neuro,NEURO,3rd Floor
Hudson Brace Set Aesculap,NEURO,3rd Floor
Hudson Brace Set Codman / AISCO Combined,NEURO,3rd Floor
K/S Endoscopic Holding System Neuro,NEURO,3rd Floor
K/S Endoscopic Transpenoid Pitutary Set,NEURO,3rd Floor
RIs Neuro Endoscopy ventriculostomy With Forward Telescope 6 Deg.,NEURO,3rd Floor
Kerrison Punch Set (Aesculap),NEURO,3rd Floor
Kerrison Punch Set (Biomedicon),NEURO,3rd Floor
Kerrison Punch Set (Rebstock),NEURO,3rd Floor
Kerrison Punch Set (Symmetry),NEURO,3rd Floor
Leyla Retractor Set (Aesculap/Codman),NEURO,3rd Floor
Mayfield Retractor Set,NEURO,3rd Floor
Neuro Medtronic Drill System (New),NEURO,3rd Floor
Metronic Cranial System,NEURO,3rd Floor
Metrtonic ENV Instrument Tray (ENT/Neuro),NEURO,3rd Floor
Metrtonic Spin Navigation Tray,NEURO,3rd Floor
Micro Bayonnet Scissor & Forcep Set,NEURO,3rd Floor
Neuro Micro Bayonet forceps Set (REBSTOCK),NEURO,3rd Floor
Ring Currete & Suction Set,NEURO,3rd Floor
Navigation Probe & Frame Set,NEURO,3rd Floor
Neuro Aneurysm Clip Applicator Set,NEURO,3rd Floor
Neuro Bone Graft Set,NEURO,3rd Floor
Neuro Casper Cervical Retractor Set,NEURO,3rd Floor
Neuro Craniotomy Set,NEURO,3rd Floor
Neuro Decompressive Craniotomy Set,NEURO,3rd Floor
Neuro Micro Instrument Set,NEURO,3rd Floor
Neuro Micro Set (NEW),NEURO,3rd Floor
Neuro Pitutory Instrument Set,NEURO,3rd Floor
Neuro Posterior Fossa Set,NEURO,3rd Floor
Neuro Trimline Anterior Cervical Dissectomy & Fusion Instrument Set,NEURO,3rd Floor
SEEG KIT SET For Neuro,NEURO,3rd Floor
Stereo Tactic MPS-ARCH Tray,NEURO,3rd Floor
Steriotactic Biopsy Needle Kit,NEURO,3rd Floor
Steriotactic System Model G- Grame set,NEURO,3rd Floor
Stryker Neuro Electrical Drill System,NEURO,3rd Floor
Stryker Pneumatic System Neuro,NEURO,3rd Floor
Tumor Holding Forcep Set (Long) - Neuro (Aesculap),NEURO,3rd Floor
Tumor Holding Forcep Set (Short) - Neuro (Aesculap),NEURO,3rd Floor
Neuro Quadrant Retractor System,NEURO,3rd Floor
Neuro Tracheostomy Set,NEURO,3rd Floor
Twist Drill Craniology Set,NEURO,3rd Floor
